code,name,market,updated_at,added_at
002068,黑猫股份,sz,2026-04-02,
002069,獐子岛,sz,2026-04-02,
002072,凯瑞德,sz,2026-04-02,
002073,软控股份,sz,2026-04-02,
002074,国轩高科,sz,2026-04-02,
002075,沙钢股份,sz,2026-04-02,
002077,大港股份,sz,2026-04-02,
002078,太阳纸业,sz,2026-04-02,
002079,苏州固锝,sz,2026-04-02,
002080,中材科技,sz,2026-04-02,
002081,金 螳 螂,sz,2026-04-02,
002082,万邦德,sz,2026-04-02,
002083,孚日股份,sz,2026-04-02,
002084,海鸥住工,sz,2026-04-02,
002085,万丰奥威,sz,2026-04-02,
002086,东方海洋,sz,2026-04-02,
002088,鲁阳节能,sz,2026-04-02,
002090,金智科技,sz,2026-04-02,
002091,江苏国泰,sz,2026-04-02,
002092,中泰化学,sz,2026-04-02,
002093,国脉科技,sz,2026-04-02,
002094,青岛金王,sz,2026-04-02,
002095,生 意 宝,sz,2026-04-02,
002096,易普力,sz,2026-04-02,
002097,山河智能,sz,2026-04-02,
002098,浔兴股份,sz,2026-04-02,
002099,海翔药业,sz,2026-04-02,
002100,天康生物,sz,2026-04-02,
002101,广东鸿图,sz,2026-04-02,
002102,能特科技,sz,2026-04-02,
002103,广博股份,sz,2026-04-02,
002104,恒宝股份,sz,2026-04-02,
002105,信隆健康,sz,2026-04-02,
002106,莱宝高科,sz,2026-04-02,
002107,沃华医药,sz,2026-04-02,
002108,沧州明珠,sz,2026-04-02,
002109,兴化股份,sz,2026-04-02,
002110,三钢闽光,sz,2026-04-02,
002111,威海广泰,sz,2026-04-02,
002112,三变科技,sz,2026-04-02,
002114,罗平锌电,sz,2026-04-02,
002115,三维通信,sz,2026-04-02,
002116,中国海诚,sz,2026-04-02,
002117,东港股份,sz,2026-04-02,
002119,康强电子,sz,2026-04-02,
002120,韵达股份,sz,2026-04-02,
002121,科陆电子,sz,2026-04-02,
002123,梦网科技,sz,2026-04-02,
002124,天邦食品,sz,2026-04-02,
002125,湘潭电化,sz,2026-04-02,
002126,银轮股份,sz,2026-04-02,
002127,南极电商,sz,2026-04-02,
002128,电投能源,sz,2026-04-02,
002129,TCL中环,sz,2026-04-02,
002130,沃尔核材,sz,2026-04-02,
002131,利欧股份,sz,2026-04-02,
002132,恒星科技,sz,2026-04-02,
002133,广宇集团,sz,2026-04-02,
002134,天津普林,sz,2026-04-02,
002135,东南网架,sz,2026-04-02,
002136,安 纳 达,sz,2026-04-02,
002137,实益达,sz,2026-04-02,
002138,顺络电子,sz,2026-04-02,
002139,拓邦股份,sz,2026-04-02,
002140,东华科技,sz,2026-04-02,
002141,贤丰控股,sz,2026-04-02,
002142,宁波银行,sz,2026-04-02,
002144,宏达高科,sz,2026-04-02,
002145,钛能化学,sz,2026-04-02,
002146,荣盛发展,sz,2026-04-02,
002148,北纬科技,sz,2026-04-02,
002149,西部材料,sz,2026-04-02,
002150,正泰电源,sz,2026-04-02,
002151,北斗星通,sz,2026-04-02,
002152,广电运通,sz,2026-04-02,
002153,石基信息,sz,2026-04-02,
002154,报 喜 鸟,sz,2026-04-02,
002155,湖南黄金,sz,2026-04-02,
002156,通富微电,sz,2026-04-02,
002157,正邦科技,sz,2026-04-02,
002158,汉钟精机,sz,2026-04-02,
002159,三特索道,sz,2026-04-02,
002160,常铝股份,sz,2026-04-02,
002161,远 望 谷,sz,2026-04-02,
002162,悦心健康,sz,2026-04-02,
002163,海南发展,sz,2026-04-02,
002164,宁波东力,sz,2026-04-02,
002165,红 宝 丽,sz,2026-04-02,
002166,莱茵生物,sz,2026-04-02,
002167,东方锆业,sz,2026-04-02,
002169,智光电气,sz,2026-04-02,
002170,芭田股份,sz,2026-04-02,
002171,楚江新材,sz,2026-04-02,
002172,澳洋健康,sz,2026-04-02,
002173,创新医疗,sz,2026-04-02,
002174,游族网络,sz,2026-04-02,
002175,东方智造,sz,2026-04-02,
002176,江特电机,sz,2026-04-02,
002177,御银股份,sz,2026-04-02,
002178,延华智能,sz,2026-04-02,
002179,中航光电,sz,2026-04-02,
002180,纳思达,sz,2026-04-02,
002181,粤 传 媒,sz,2026-04-02,
002182,宝武镁业,sz,2026-04-02,
002183,怡 亚 通,sz,2026-04-02,
002184,海得控制,sz,2026-04-02,
002185,华天科技,sz,2026-04-02,
002186,全 聚 德,sz,2026-04-02,
002187,广百股份,sz,2026-04-02,
002188,中天服务,sz,2026-04-02,
002189,中光学,sz,2026-04-02,
002190,成飞集成,sz,2026-04-02,
002191,劲嘉股份,sz,2026-04-02,
002192,融捷股份,sz,2026-04-02,
002193,如意集团,sz,2026-04-02,
002194,武汉凡谷,sz,2026-04-02,
002195,岩山科技,sz,2026-04-02,
002196,方正电机,sz,2026-04-02,
002197,证通电子,sz,2026-04-02,
002198,嘉应制药,sz,2026-04-02,
002201,九鼎新材,sz,2026-04-02,
002202,金风科技,sz,2026-04-02,
002203,海亮股份,sz,2026-04-02,
